city_id,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
88,souillac,0,FR,1530248400,68,45.6,-0.6,64.4,6.93
89,kodiak,1,US,1530247980,79,39.95,-94.76,84.2,11.41
90,bredasdorp,92,ZA,1530244800,81,-34.53,20.04,44.6,2.24
91,itarema,12,BR,1530250432,83,-2.92,-39.92,77.27,13.33
92,mangrol,88,IN,1530250432,100,25.33,76.51,77.27,7.74
93,asosa,56,ET,1530250432,98,10.07,34.53,66.56,3.83
94,waitati,12,NZ,1530250432,99,-45.75,170.57,37.94,2.71
95,sola,20,NO,1530247800,87,58.89,5.65,55.4,2.24
96,taiyuan,0,CN,1530248400,33,37.86,112.56,86.0,6.71
97,saskylakh,0,RU,1530250433,78,71.97,114.09,57.65,4.38
98,kahului,40,US,1530248160,78,20.89,-156.47,77.0,14.99
99,cape town,75,ZA,1530248400,87,-33.93,18.42,51.8,12.75
100,kathu,0,ZA,1530250433,65,-27.7,23.05,34.88,4.05
101,barrow,88,AR,1530250433,88,-38.31,-60.23,41.36,2.93
102,eyl,0,SO,1530250433,63,7.98,49.82,86.72,23.51
103,cienfuegos,0,CU,1530248340,94,22.15,-80.44,77.0,6.93
104,rio grande,92,BR,1530249826,92,-32.03,-52.1,60.17,9.19
105,merauke,56,ID,1530249835,86,-8.49,140.4,80.96,16.02
106,langsa,44,ID,1530250434,88,4.47,97.97,81.59,3.15
107,udachnyy,56,RU,1530250434,57,66.42,112.4,61.16,3.71
108,bud,40,NO,1530249600,71,62.91,6.91,53.6,3.36
109,hamilton,20,CA,1530248400,88,43.26,-79.87,69.8,8.05
110,lagoa,0,PT,1530248400,77,37.14,-8.45,64.4,3.36
111,bulgan,0,MN,1530250435,42,48.81,103.53,82.13,3.83
112,lons-le-saunier,0,FR,1530248400,72,46.67,5.56,64.4,14.99
113,umea,0,SE,1530247800,76,63.83,20.26,53.6,14.99
114,port elizabeth,1,US,1530248160,78,39.31,-74.98,77.0,5.82
115,barra do garcas,0,BR,1530249661,78,-15.89,-52.26,60.44,3.15
116,dingle,44,PH,1530250435,79,11.0,122.67,85.28,7.07
117,srednekolymsk,24,RU,1530250435,43,67.46,153.71,52.07,5.95
118,vestmannaeyjar,100,IS,1530250436,97,63.44,-20.27,50.36,17.25
119,sungaipenuh,12,ID,1530250436,78,-2.08,101.38,76.46,0.36
120,yar-sale,8,RU,1530250436,73,66.83,70.83,50.18,18.14
121,marana,90,US,1530248400,22,32.44,-111.22,91.4,10.29
122,san jeronimo,0,PE,1530250436,78,-13.65,-73.37,27.41,2.71
123,richards bay,44,ZA,1530250437,90,-28.77,32.06,55.31,6.62
124,henties bay,20,NA,1530250437,100,-22.12,14.28,52.16,3.27
125,chuy,92,UY,1530250437,97,-33.69,-53.46,56.93,10.54
126,aquin,44,HT,1530250437,100,18.28,-73.39,79.7,13.67
127,muros,20,ES,1530246600,100,42.77,-9.06,59.0,5.82
128,shimoda,75,JP,1530248400,94,34.7,138.93,78.8,17.22
129,lubango,0,AO,1530250144,67,-14.92,13.49,46.49,3.6
130,dongsheng,92,CN,1530250438,88,29.72,112.52,87.17,2.48
131,san cristobal,75,EC,1530248400,93,-0.39,-78.55,50.0,5.82
132,banjar,56,ID,1530250438,60,-7.37,108.54,81.86,8.41
133,sitka,0,US,1530249853,31,37.17,-99.65,88.07,21.05
134,tura,44,IN,1530250439,84,25.52,90.21,83.39,4.94
135,saldanha,0,PT,1530250439,93,41.42,-6.55,55.49,2.82
136,maceio,75,BR,1530248400,100,-9.67,-35.74,68.0,4.7
137,bedford,90,GB,1530249600,100,52.14,-0.47,55.4,10.29
138,mattru,80,SL,1530249844,99,7.62,-11.83,72.86,2.48
139,san lorenzo,0,PY,1530248400,73,-25.34,-57.51,69.8,6.93
